symbol,base_asset,onboard_date,quote_volume_24h,last_price,universe_source
BTCUSDT,BTC,,353176147.6747903,64779.99,official_binance_spot_volume_mapped_to_usdm
MMTUSDT,MMT,,109626923.56651,0.2149,official_binance_spot_volume_mapped_to_usdm
ETHUSDT,ETH,,108764122.211802,1914.08,official_binance_spot_volume_mapped_to_usdm
TUTUSDT,TUT,,107798686.35587,0.14054,official_binance_spot_volume_mapped_to_usdm
SOLUSDT,SOL,,101607046.40917,75.99,official_binance_spot_volume_mapped_to_usdm
BNBUSDT,BNB,,62537727.33943,601.91,official_binance_spot_volume_mapped_to_usdm
BABYUSDT,BABY,,52240004.12329,0.01259,official_binance_spot_volume_mapped_to_usdm
BICOUSDT,BICO,,34776819.9175981,0.06917,official_binance_spot_volume_mapped_to_usdm
XRPUSDT,XRP,,33966442.21145,1.0372,official_binance_spot_volume_mapped_to_usdm
ZECUSDT,ZEC,,23278764.88191,512.29,official_binance_spot_volume_mapped_to_usdm
ACEUSDT,ACE,,20345721.31551,0.1325,official_binance_spot_volume_mapped_to_usdm
DOGEUSDT,DOGE,,19352958.32479,0.07004,official_binance_spot_volume_mapped_to_usdm
SPCXBUSDT,SPCXB,,18581231.67873,136.9,official_binance_spot_volume_mapped_to_usdm
SUIUSDT,SUI,,15394701.6507,0.6903,official_binance_spot_volume_mapped_to_usdm
TSTUSDT,TST,,14188670.802198,0.01923,official_binance_spot_volume_mapped_to_usdm
KAITOUSDT,KAITO,,13348308.72679,0.7122,official_binance_spot_volume_mapped_to_usdm
NEARUSDT,NEAR,,12930053.6466,1.616,official_binance_spot_volume_mapped_to_usdm
TRXUSDT,TRX,,12743407.57682,0.3299,official_binance_spot_volume_mapped_to_usdm
RLUSDUSDT,RLUSD,,10975298.8956,1.0008,official_binance_spot_volume_mapped_to_usdm
TAOUSDT,TAO,,10826094.84307,205.8,official_binance_spot_volume_mapped_to_usdm
1000CATUSDT,1000CAT,,10467690.719475,0.00193,official_binance_spot_volume_mapped_to_usdm
ADAUSDT,ADA,,10447018.66735,0.1988,official_binance_spot_volume_mapped_to_usdm
