month,trades,wins,targets,stops,timeouts,net_r,symbols,losses,accuracy_pct
2025-08,198,190,190,8,0,105.23016656695592,39,8,95.95959595959596
2025-09,115,104,104,11,0,48.31041215717814,40,11,90.43478260869566
2025-10,216,212,212,4,0,132.85172927989316,42,4,98.14814814814815
2025-11,183,177,177,6,0,106.22404494449488,46,6,96.72131147540983
2025-12,151,142,142,9,0,76.90674437857754,40,9,94.03973509933775
2026-01,178,170,170,8,0,93.56404689631341,41,8,95.50561797752809
2026-02,175,162,162,13,0,82.56354442238155,44,13,92.57142857142857
2026-03,60,49,49,11,0,15.15347029394765,28,11,81.66666666666667
2026-04,9,5,5,4,0,-1.4232352770190149,7,4,55.55555555555556
2026-05,81,54,54,27,0,0.8284573574378182,35,27,66.66666666666666
2026-06,47,23,23,24,0,-12.277569276639808,29,24,48.93617021276596
2026-07,52,29,29,23,0,-9.54958827362471,24,23,55.769230769230774
2026-08,5,3,3,2,0,-0.557804175679825,5,2,60.0
