symbol,base_asset,onboard_date,quote_volume_24h,last_price,universe_source
BTCUSDT,BTC,,348475449.5179464,64796.92,official_binance_spot_volume_mapped_to_usdm
TUTUSDT,TUT,,111313351.37335,0.14437,official_binance_spot_volume_mapped_to_usdm
ETHUSDT,ETH,,107237535.620349,1914.48,official_binance_spot_volume_mapped_to_usdm
SOLUSDT,SOL,,89704364.09678,76.1,official_binance_spot_volume_mapped_to_usdm
BNBUSDT,BNB,,62762432.01648,601.08,official_binance_spot_volume_mapped_to_usdm
BABYUSDT,BABY,,52441243.6952,0.0126,official_binance_spot_volume_mapped_to_usdm
BICOUSDT,BICO,,33515026.5427485,0.06869,official_binance_spot_volume_mapped_to_usdm
XRPUSDT,XRP,,32769914.1387,1.0383,official_binance_spot_volume_mapped_to_usdm
ZECUSDT,ZEC,,23389801.18896,511.98,official_binance_spot_volume_mapped_to_usdm
ACEUSDT,ACE,,20396289.32014,0.1323,official_binance_spot_volume_mapped_to_usdm
DOGEUSDT,DOGE,,18871548.46251,0.07007,official_binance_spot_volume_mapped_to_usdm
SUIUSDT,SUI,,15287134.5477,0.6904,official_binance_spot_volume_mapped_to_usdm
TSTUSDT,TST,,14508630.756184,0.01813,official_binance_spot_volume_mapped_to_usdm
KAITOUSDT,KAITO,,13389216.79773,0.7083,official_binance_spot_volume_mapped_to_usdm
TRXUSDT,TRX,,12766524.19595,0.33,official_binance_spot_volume_mapped_to_usdm
NEARUSDT,NEAR,,12674020.068,1.62,official_binance_spot_volume_mapped_to_usdm
TAOUSDT,TAO,,10840997.62259,207.6,official_binance_spot_volume_mapped_to_usdm
1000CATUSDT,1000CAT,,10520099.236308,0.00202,official_binance_spot_volume_mapped_to_usdm
ADAUSDT,ADA,,10271112.98297,0.1986,official_binance_spot_volume_mapped_to_usdm
HEIUSDT,HEI,,9296577.11272,0.184,official_binance_spot_volume_mapped_to_usdm
DEXEUSDT,DEXE,,7632123.46562,2.213,official_binance_spot_volume_mapped_to_usdm
BANKUSDT,BANK,,7110342.66809,0.039,official_binance_spot_volume_mapped_to_usdm
EPICUSDT,EPIC,,6360151.56197,1.054,official_binance_spot_volume_mapped_to_usdm
SYNUSDT,SYN,,6309083.049709,0.10748,official_binance_spot_volume_mapped_to_usdm
LINKUSDT,LINK,,6224842.00252,8.302,official_binance_spot_volume_mapped_to_usdm
1000PEPEUSDT,PEPE,,5778168.53247777,2.86e-06,official_binance_spot_volume_mapped_to_usdm
SAGAUSDT,SAGA,,5625025.941456,0.0186,official_binance_spot_volume_mapped_to_usdm
IOTXUSDT,IOTX,,5579954.65843,0.00344,official_binance_spot_volume_mapped_to_usdm
ICPUSDT,ICP,,5572096.62996,2.169,official_binance_spot_volume_mapped_to_usdm
UNIUSDT,UNI,,5248149.38148,3.965,official_binance_spot_volume_mapped_to_usdm
AVAXUSDT,AVAX,,5131212.46997,6.471,official_binance_spot_volume_mapped_to_usdm
PENGUUSDT,PENGU,,4997474.453233,0.006318,official_binance_spot_volume_mapped_to_usdm
LTCUSDT,LTC,,4923789.00172,46.0,official_binance_spot_volume_mapped_to_usdm
ENAUSDT,ENA,,4856867.470278,0.0894,official_binance_spot_volume_mapped_to_usdm
PIXELUSDT,PIXEL,,4681337.597211,0.0047,official_binance_spot_volume_mapped_to_usdm
COOKIEUSDT,COOKIE,,4655162.91257,0.0121,official_binance_spot_volume_mapped_to_usdm
HMSTRUSDT,HMSTR,,4566532.1047687,0.0002287,official_binance_spot_volume_mapped_to_usdm
ONDOUSDT,ONDO,,4281080.23607,0.3489,official_binance_spot_volume_mapped_to_usdm
FETUSDT,FET,,4278199.36833,0.137,official_binance_spot_volume_mapped_to_usdm
WLDUSDT,WLD,,4274522.49398,0.3037,official_binance_spot_volume_mapped_to_usdm
AAVEUSDT,AAVE,,4212441.47582,90.79,official_binance_spot_volume_mapped_to_usdm
FILUSDT,FIL,,3776658.661975,0.7109,official_binance_spot_volume_mapped_to_usdm
HFTUSDT,HFT,,3768971.5596889,0.010906,official_binance_spot_volume_mapped_to_usdm
MUBARAKUSDT,MUBARAK,,3747106.777606,0.01625,official_binance_spot_volume_mapped_to_usdm
INJUSDT,INJ,,3240385.78685,4.408,official_binance_spot_volume_mapped_to_usdm
XLMUSDT,XLM,,3181410.7698,0.1636,official_binance_spot_volume_mapped_to_usdm
GLMRUSDT,GLMR,,3164864.1826582,0.009391,official_binance_spot_volume_mapped_to_usdm
JSTUSDT,JST,,3093830.754422,0.10221,official_binance_spot_volume_mapped_to_usdm
CATIUSDT,CATI,,3067659.76645,0.04378,official_binance_spot_volume_mapped_to_usdm
BROCCOLI714USDT,BROCCOLI714,,2946023.83813,0.01723,official_binance_spot_volume_mapped_to_usdm
