symbol,base_asset,onboard_date,quote_volume_24h,last_price,universe_source
BTCUSDT,BTC,,348475449.5179464,64796.92,official_binance_spot_volume_mapped_to_usdm
TUTUSDT,TUT,,111313351.37335,0.14437,official_binance_spot_volume_mapped_to_usdm
MMTUSDT,MMT,,108672112.17465,0.2208,official_binance_spot_volume_mapped_to_usdm
ETHUSDT,ETH,,107237535.620349,1914.48,official_binance_spot_volume_mapped_to_usdm
SOLUSDT,SOL,,89704364.09678,76.1,official_binance_spot_volume_mapped_to_usdm
BNBUSDT,BNB,,62762432.01648,601.08,official_binance_spot_volume_mapped_to_usdm
BABYUSDT,BABY,,52441243.6952,0.0126,official_binance_spot_volume_mapped_to_usdm
BICOUSDT,BICO,,33515026.5427485,0.06869,official_binance_spot_volume_mapped_to_usdm
XRPUSDT,XRP,,32769914.1387,1.0383,official_binance_spot_volume_mapped_to_usdm
ZECUSDT,ZEC,,23389801.18896,511.98,official_binance_spot_volume_mapped_to_usdm
ACEUSDT,ACE,,20396289.32014,0.1323,official_binance_spot_volume_mapped_to_usdm
DOGEUSDT,DOGE,,18871548.46251,0.07007,official_binance_spot_volume_mapped_to_usdm
SPCXBUSDT,SPCXB,,17906750.59548,136.58,official_binance_spot_volume_mapped_to_usdm
SUIUSDT,SUI,,15287134.5477,0.6904,official_binance_spot_volume_mapped_to_usdm
TSTUSDT,TST,,14508630.756184,0.01813,official_binance_spot_volume_mapped_to_usdm
KAITOUSDT,KAITO,,13389216.79773,0.7083,official_binance_spot_volume_mapped_to_usdm
TRXUSDT,TRX,,12766524.19595,0.33,official_binance_spot_volume_mapped_to_usdm
NEARUSDT,NEAR,,12674020.068,1.62,official_binance_spot_volume_mapped_to_usdm
RLUSDUSDT,RLUSD,,11027162.3381,1.0007,official_binance_spot_volume_mapped_to_usdm
TAOUSDT,TAO,,10840997.62259,207.6,official_binance_spot_volume_mapped_to_usdm
1000CATUSDT,1000CAT,,10520099.236308,0.00202,official_binance_spot_volume_mapped_to_usdm
ADAUSDT,ADA,,10271112.98297,0.1986,official_binance_spot_volume_mapped_to_usdm
REUSDT,RE,,9993367.92512,0.4135,official_binance_spot_volume_mapped_to_usdm
EURIUSDT,EURI,,9792235.38914,1.1558,official_binance_spot_volume_mapped_to_usdm
HEIUSDT,HEI,,9296577.11272,0.184,official_binance_spot_volume_mapped_to_usdm
